method,seed,mae_prop,rmse_prop,mae_raw,rmse_raw
als_bias_lambda3,20260737,0.0918622292379199,0.114865143822359,3.90055248618785,6.12394990434599
als_bias_lambda5,20260737,0.0906134350609489,0.113528338633019,3.85635359116022,6.02205889793231
als_bias_lambda10,20260737,0.0878930983074629,0.109058262226142,3.76795580110497,5.81862127923447
als_bias_lambda20,20260737,0.0888963430676138,0.110478635012786,3.75690607734807,5.7383078338113
paper_mean,20260738,0.0912619486100149,0.114532543108372,3.4585635359116,5.13142199713756
paper_median,20260738,0.0897978602122249,0.11315478876682,3.43093922651934,5.10605750108828
same_subject,20260738,0.0656590370955012,0.0856552507000989,2.66298342541436,4.19681541987592
als_bias_lambda1,20260738,0.0911461895992283,0.113006967865189,3.60220994475138,5.45498909965438
als_bias_lambda3,20260738,0.0882044198895028,0.111359700023252,3.49723756906077,5.32325244325174
als_bias_lambda5,20260738,0.0885573971761817,0.111661340100575,3.50276243093923,5.32999435074799
als_bias_lambda10,20260738,0.0905853722704551,0.113188531164817,3.48066298342541,5.23376204974683
als_bias_lambda20,20260738,0.0909422958870473,0.112776998321698,3.4475138121547,5.1432517607087
paper_mean,20260739,0.0853507848811716,0.10655970243617,3.33149171270718,4.90743037935097
paper_median,20260739,0.0865570463913005,0.107166105811728,3.32044198895028,4.88938414813832
same_subject,20260739,0.0691857405945804,0.08668305214427,2.74033149171271,4.139821439019
als_bias_lambda1,20260739,0.0914851354906603,0.115536081107367,3.53038674033149,5.32947604527191
als_bias_lambda3,20260739,0.090933526265018,0.11354893541959,3.51381215469613,5.26848233150194
als_bias_lambda5,20260739,0.0892015259142331,0.112613960937991,3.46961325966851,5.19455728761986
als_bias_lambda10,20260739,0.0887205121459265,0.111136373833455,3.43646408839779,5.10551646188135
als_bias_lambda20,20260739,0.0875164430413049,0.108819747678648,3.40883977900553,5.04510046223394
paper_mean,20260740,0.0878733666578971,0.113461622381896,3.68508287292818,6.16037955349294
